Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Terkonfirmasi,2020-04-29,,,,,4,1,90,,40,29,15,7,4,6,7,,,9,1,1,1,3,8,12,5,2,1,,1,,12,1,,
Sembuh,2020-04-29,,8,,,,1,77,,4,12,8,,,,4,,,,,,3,5,1,10,,1,,,,,,1,,2
Meninggal,2020-04-29,,,,,,,,,,1,5,,,,3,,1,,,1,,,,,,,,,,,,,,
Terkonfirmasi,2020-04-30,1,7,16,,,1,82,,3,13,86,,15,18,13,8,,,6,3,1,3,9,26,,,,14,,,16,4,2,
Sembuh,2020-04-30,,17,1,,,3,46,,36,1,5,,,,,2,,7,1,1,,1,3,4,,2,1,,,,,,,
Meninggal,2020-04-30,,,,,,,1,,4,,1,,,,,,,,,,1,1,,,,,,,,,,,,
Terkonfirmasi,2020-05-01,1,13,14,9,,9,142,,,22,76,3,2,11,9,15,,3,6,24,,,,56,1,4,1,1,,5,5,1,,
Sembuh,2020-05-01,,8,,2,,1,2,,2,10,5,1,1,,3,1,4,,6,5,,,1,13,3,,,,,,1,,,
Meninggal,2020-05-01,,,,,,,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-05-02,,2,9,,,10,80,,31,19,3,7,18,1,,7,,17,,10,,,2,30,11,,3,,,1,30,1,,
Sembuh,2020-05-02,2,8,,,,4,25,,2,,3,,,,1,,7,1,,,3,,,10,,,7,,,,,1,,
Meninggal,2020-05-02,,,,,,,17,,1,2,7,,,,,,,,,,,,,3,,,1,,,,,,,
Terkonfirmasi,2020-05-03,1,25,5,1,,1,67,6,10,9,80,2,8,,16,,3,19,29,13,,6,,24,,,8,9,,,,,7,
Sembuh,2020-05-03,,22,,,,1,120,,4,,9,,,4,,,20,4,7,5,,,,6,,4,3,2,,,,,,
Meninggal,2020-05-03,,,,,,,6,,1,,5,,,1,,,,,1,,,,,,,,,,,,,,,
Terkonfirmasi,2020-05-04,,9,14,,,,79,,193,22,7,3,5,23,3,8,,,,8,,6,,6,,4,5,,,,,,,
Sembuh,2020-05-04,1,8,,,,1,1,,6,,4,,,,,,,,7,2,,,,48,,,,,,,,,,
Meninggal,2020-05-04,,,,,,,10,,1,,6,,,,,,,,1,,,,,,,,1,,,,,,,
Terkonfirmasi,2020-05-05,,6,12,8,,6,148,5,48,51,47,,1,1,14,1,5,16,14,18,,1,5,33,11,1,3,,,6,7,14,2,
Sembuh,2020-05-05,,1,83,,,2,72,,8,20,2,,,,,1,4,10,4,1,,,4,29,1,,1,,,,,,,
Meninggal,2020-05-05,,,,,,,1,,1,,,,1,,,,1,,,1,,,,2,,,,,,,,1,,
Terkonfirmasi,2020-05-06,5,,29,,2,1,83,4,20,42,50,17,14,5,13,,1,4,11,17,,11,,25,,8,,,,4,1,,,
Sembuh,2020-05-06,,6,5,,,1,37,,10,13,19,,,,,,11,7,,,,2,,7,,1,1,,,,,,,
Meninggal,2020-05-06,,,,,,,5,,3,2,6,,,,,,,1,,,,3,,3,,,,,,,,,,
Terkonfirmasi,2020-05-07,,10,8,,,15,85,,61,13,46,5,,2,13,,,11,17,14,,1,,19,5,,5,,,,4,,,4
Sembuh,2020-05-07,,17,,,,4,4,,5,,7,3,,,,,6,4,,3,,5,,3,,,,,,,,1,,2
Meninggal,2020-05-07,,,15,,,,9,,,,10,,,,,,,,1,,,,,,,,,,,,,,,
Terkonfirmasi,2020-05-08,,13,10,,,6,100,,23,28,17,,27,,8,,2,12,,18,2,15,1,24,,3,3,,9,,13,2,,
Sembuh,2020-05-08,4,12,,2,,2,,,2,16,9,1,,14,,,4,23,2,5,,,,13,,,,,,,,,,4
Meninggal,2020-05-08,,,,,,,1,,2,1,5,,,,,,,,,1,,,,1,,,,,2,,,,,
